Entry Name,Priority,Base PP,Type,Targets,Base Accuracy,Effect Accuracy,Makes Contact,Can Be Protected Against,Can Be Reflected By Magic Coat,Can Be Stolen By Snatch,Can Be Copied By Mirror Move,Gains Flinch Chance With King's Rock,Callable by Metronome,Copyable by Mimic,Callable by Assist,Callable by Sleep Talk,Is Sound Based,Has unspecified target,Is HM Move,Category,Has Risk Flag,Match Up Chart Type,Contest Appeal Jam Index,Contest Appeal Type,Base Power,Effect,Animation ID,Name ID,Unused String ID,Exclamation String ID,Description ID,Animation ID 2,Move Effect Type
"Bone Club"  - 10,0,20,Ground (4),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),18,Tough (5),85,"hit and flinch chance" (31),198 (0xC6),"Bone Club" (0x7DA),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Strikes with a bone.[New Line]May cause a flinch." (0x290E),198 (0xC6),Attack (1)
"Earth Power"  - 11,0,10,Ground (4),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Tough (5),90,"hit and special defense lowering chance" (72),284 (0x11C),"Earth Power" (0x7DB),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Erupts the ground with power.[New Line]May lower Sp.Def" (0x290F),284 (0x11C),Attack (1)
"Hone Claws"  - 12,0,30,Normal (0),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,4 (0x4),46,Cool (1),0,"unused - 55" (55),116 (0x74),"Hone Claws" (0x7DC),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Sharpens claws to[New Line]raise attack & accuracy." (0x2910),116 (0x74),Stat Buff (4)
"Grass Knot"  - 13,0,20,Grass (12),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,false,false,true,false,Special (2),false,1 (0x1),38,Cool (1),10,"more damage to heavier foes" (196),22 (0x16),"Grass Knot" (0x7DD),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Trips the foe. Heavier[New Line]foes take more damage." (0x2911),22 (0x16),Attack (1)
"Swords Dance"  - 14,0,30,Normal (0),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),39,Beauty (2),0,"sharply boost attack" (50),14 (0xE),"Swords Dance" (0x7DE),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"A fighting dance that[New Line]sharply raises Attack." (0x2912),14 (0xE),Stat Buff (4)
"Poison Jab"  - 15,0,20,Poison (3),Selected Target (0),100,30,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),46,Cool (1),80,"hit and poison chance" (2),141 (0x8D),"Poison Jab" (0x7DF),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Stabs the foe with a poison[New Line]steeped arm or tentacle." (0x2913),141 (0x8D),Attack (1)
"Gust"  - 16,0,40,Flying (2),Selected Target (0),100,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),44,Smart (4),40,"hit opponents in air for double damage" (149),16 (0x10),"Gust" (0x7E0),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Hits target with a gust of[New Line]wind whipped up by wings." (0x2914),16 (0x10),Attack (1)
"Scald"  - 17,0,15,Water (11),Selected Target (0),100,30,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),36,Cool (1),80,"hit and burn chance" (4),56 (0x38),"Scald" (0x7E1),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Shoots boiling water at the[New Line]foe. May cause a burn." (0x2915),56 (0x38),Attack (1)
"Shadow Bone"  - 18,0,20,Ghost (7),Selected Target (0),100,20,false,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),18,Tough (5),85,"hit and defense lowering chance" (69),125 (0x7D),"Shadow Bone" (0x7E2),"MsgID 0x4FC1" (0x4FC1),"!" (0x4F6E),"Strikes with an eery bone.[New Line]May lower defense." (0x2916),125 (0x7D),Attack (1)
"Iron Head"  - 19,0,15,Steel (8),Selected Target (0),100,30,true,true,false,false,false,false,true,true,true,false,false,true,false,Physical (1),false,1 (0x1),6,Smart (4),80,"hit and flinch chance" (31),29 (0x1D),"Iron Head" (0x7E3),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Slams the foe with a steel[New Line]hard head. May cause flinching." (0x2917),29 (0x1D),Attack (1)
"Shadow Fury"  - 20,0,5,Normal (0),Selected Target (0),95,100,true,true,false,false,false,true,true,true,true,true,false,true,true,Physical (1),false,2 (0x2),49,Cool (1),95,"hit and chance to raise user's attack" (139),31 (0x1F),"Shadow Fury" (0x7E4),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A savage blow which[New Line]increases attack." (0x2A14),31 (0x1F),Attack (1)
"Sucker Punch"  - 21,1,5,Dark (17),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),20,Tough (5),70,No effect (0),325 (0x145),"Sucker Punch" (0x7E5),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"A preemptive strike. Fails if[New Line]target doesn't attack." (0x2919),325 (0x145),Attack (1)
"Drain Punch"  - 22,0,10,Fight (1),Selected Target (0),100,100,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Cool (1),75,"hit and absorb 50%" (3),327 (0x147),"Drain Punch" (0x7E6),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"An energy draining punch.[New Line]Restores some HP." (0x291A),327 (0x147),Attack (1)
"Baby Doll Eyes"  - 23,1,30,Fairy (9),Selected Target (0),100,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,1 (0x1),13,Tough (5),0,"lowers opponents attack" (18),143 (0x8F),"Baby Doll Eyes" (0x7E7),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Charms the foe with a cute[New Line]look to lower Atk." (0x291B),143 (0x8F),Stat Nerf (3)
"First Impression"  - 24,2,10,Bug (6),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),36,Cool (1),90,"raises crit ratio" (47),5 (0x5),"First Impression" (0x7E8),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"High priority but only[New Line]works on first turn." (0x291C),5 (0x5),Attack (1)
"Flare Blitz"  - 25,0,15,Fire (10),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Cool (1),120,"hit with 33% recoil" (198),172 (0xAC),"Flare Blitz" (0x7E9),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"An explosive tackle cloaked[New Line]in flames with serious recoil." (0x291D),172 (0xAC),Attack (1)
"Jump Kick"  - 26,0,25,Fight (1),Selected Target (0),95,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),true,1 (0x1),2,Cool (1),90,"damages user if misses" (45),26 (0x1A),"Jump Kick" (0x7EA),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A strong jumping kick. May[New Line]miss and hurt the kicker." (0x291E),26 (0x1A),Attack (1)
"Low Sweep"  - 27,0,20,Fight (1),Selected Target (0),100,100,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),14,Cool (1),65,"hit and speed lowering chance" (70),27 (0x1B),"Low Sweep" (0x7EB),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Trips the foe to lower[New Line]its speed." (0x291F),27 (0x1B),Attack (1)
"Sand-Attack"  - 28,0,15,Ground (4),Selected Target (0),100,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),18,Cute (3),0,"lowers opponents accuracy" (23),28 (0x1C),"Sand-Attack" (0x7EC),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Lowers accuracy of target[New Line]by hurling sand in its face." (0x2920),28 (0x1C),Stat Nerf (3)
"Headbutt"  - 29,0,15,Normal (0),Selected Target (0),100,30,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),11,Tough (5),70,"hit and flinch chance" (31),29 (0x1D),"Headbutt" (0x7ED),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A ramming attack that may[New Line]cause flinching." (0x2921),29 (0x1D),Attack (1)
"Bug Buzz"  - 30,0,10,Bug (6),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,true,true,false,Special (2),false,1 (0x1),1,Cool (1),90,"hit and special defense lowering chance" (72),49 (0x31),"Bug Buzz" (0x7EE),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Generates a sound wave which[New Line]may lower Sp.Def." (0x2922),49 (0x31),Attack (1)
"Draco Meteor"  - 31,0,5,Dragon (16),Selected Target (0),90,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),18,Cool (1),130,"hit then sharply lowers user's special attack" (204),373 (0x175),"Draco Meteor" (0x7EF),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Summons meteors to[New Line]crush the target." (0x2923),372 (0x174),Attack (1)
"Aurora Veil"  - 32,0,10,Ice (15),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),6,Beauty (2),0,"reflects status moves back to the sender" (183),219 (0xDB),"Aurora Veil" (0x7F0),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Sets up dual screens if[New Line]it is hailing." (0x2985),219 (0xDB),Field Effect (6)
"Tackle"  - 33,0,35,Normal (0),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Tough (5),40,No effect (0),33 (0x21),"Tackle" (0x7F1),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Charges the target with a[New Line]full-body tackle." (0x2925),33 (0x21),Attack (1)
"Body Slam"  - 34,0,15,Normal (0),Selected Target (0),100,30,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),13,Tough (5),85,"hit and paralyze chance" (6),34 (0x22),"Body Slam" (0x7F2),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A full-body slam that may[New Line]cause paralysis." (0x2926),34 (0x22),Attack (1)
"Infestation"  - 35,0,20,Bug (6),Selected Target (0),90,100,false,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),48,Tough (5),35,"hit and traps foe" (42),4 (0x4),"Infestation" (0x7F3),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Wraps and squeezes 2 to 5 [New Line]times with vines, etc." (0x2927),4 (0x4),Attack (1)
"X-Scissor"  - 36,0,15,Bug (6),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),true,1 (0x1),2,Tough (5),80,No effect (0),12 (0xC),"X-Scissor" (0x7F4),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Slashes the target with[New Line]crossed blades" (0x2928),12 (0xC),Attack (1)
"Aqua Jet"  - 37,1,20,Water (11),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),true,1 (0x1),19,Tough (5),40,"increased priority (still need to set priority field)" (103),323 (0x143),"Aqua Jet" (0x7F5),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Water propels the user[New Line]at high speeds." (0x2929),323 (0x143),Attack (1)
"Double-Edge"  - 38,0,15,Normal (0),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),true,1 (0x1),2,Tough (5),120,"hit with 33% recoil" (198),38 (0x26),"Double-Edge" (0x7F6),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A life-risking tackle that[New Line]also hurts the user." (0x292A),38 (0x26),Attack (1)
"Stone Edge"  - 39,0,5,Rock (5),Selected Target (0),80,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,15 (0xF),31,Cute (3),100,"high crit ratio" (43),157 (0x9D),"Stone Edge" (0x7F7),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Stabs the foe with[New Line]sharp stones." (0x292B),157 (0x9D),Attack (1)
"Bug Bite"  - 40,0,25,Bug (6),Selected Target (0),100,30,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),14,Tough (5),60,No effect (0),242 (0xF2),"Bug Bite" (0x7F8),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Bites the foe with[New Line]a strong jaw." (0x292C),242 (0xF2),Attack (1)
"Shadow Sneak"  - 41,1,30,Ghost (7),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),11,Cool (1),40,"increased priority (still need to set priority field)" (103),98 (0x62),"Shadow Sneak" (0x7F9),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Extends a shadow to[New Line]attack first." (0x292D),98 (0x62),Attack (1)
"Pin Missile"  - 42,0,20,Bug (6),Selected Target (0),95,0,false,true,false,true,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),18,Cool (1),25,"2-5 hits" (29),42 (0x2A),"Pin Missile" (0x7FA),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Sharp pins are fired to[New Line]strike 2 to 5 times." (0x292E),42 (0x2A),Attack (1)
"Quiver Dance"  - 43,0,10,Bug (6),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),48,Cool (1),0,"unused - 56" (56),97 (0x61),"Quiver Dance" (0x7FB),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Boosts Sp.Atk, Sp.Def[New Line]and Speed." (0x292F),97 (0x61),Stat Buff (4)
"Bite"  - 44,0,25,Dark (17),Selected Target (0),100,30,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),14,Tough (5),60,"hit and flinch chance" (31),44 (0x2C),"Bite" (0x7FC),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Bites with vicious fangs.[New Line]May cause flinching." (0x2930),44 (0x2C),Attack (1)
"Growl"  - 45,0,40,Normal (0),Both Foes (4),100,0,false,true,true,false,false,false,true,true,true,true,true,true,false,Neither (0),false,15 (0xF),31,Cute (3),0,"lowers opponents attack" (18),45 (0x2D),"Growl" (0x7FD),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Growls cutely to reduce the[New Line]foe's Attack." (0x2931),45 (0x2D),Stat Nerf (3)
"Dragon Tail"  - 46,-6,10,Dragon (16),Selected Target (0),90,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,15 (0xF),44,Cool (1),60,"switch opponent out" (28),36 (0x24),"Dragon Tail" (0x7FE),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Forces target to[New Line]switch out of battle." (0x2932),36 (0x24),Attack (1)
"Sing"  - 47,0,15,Fairy (9),Selected Target (0),75,0,false,true,true,false,false,false,true,true,true,true,true,true,false,Neither (0),false,15 (0xF),27,Cute (3),0,"puts foe to sleep" (1),47 (0x2F),"Sing" (0x7FF),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"A soothing song lulls the[New Line]target into a deep slumber." (0x2933),47 (0x2F),Status Effect (5)
"Knock Off"  - 48,0,15,Dark (17),Selected Target (0),100,100,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),true,1 (0x1),44,Smart (4),65,"knocks off the opponents held item" (188),282 (0x11A),"Knock Off" (0x3E8),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Knocks off the foe's held[New Line]item to prevent use." (0x2934),282 (0x11A),Attack (1)
"Aqua Tail"  - 49,0,10,Water (11),Selected Target (0),90,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,4 (0x4),36,Cool (1),90,No effect (0),128 (0x80),"Aqua Tail" (0x801),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A swing of the tail like[New Line]a raging storm." (0x2935),128 (0x80),Attack (1)
"Disable"  - 50,0,20,Normal (0),Selected Target (0),100,0,false,true,true,false,false,false,true,true,true,true,false,true,false,Neither (0),false,15 (0xF),27,Smart (4),0,"disables opponents last move" (86),50 (0x32),"Disable" (0x802),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Psychically disables one of[New Line]the target's moves." (0x2936),50 (0x32),Status Effect (5)
"Shadow Slobber"  - 51,0,5,Normal (0),Selected Target (0),90,100,true,true,false,false,false,false,true,true,true,true,false,true,true,Physical (1),false,2 (0x2),49,Cool (1),85,"hit and flinch chance" (31),122 (0x7A),"Shadow Slobber" (0x803),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A slick and slimy slurp[New Line]makes the target flinch." (0x2937),122 (0x7A),Attack (1)
"Ember"  - 52,0,25,Fire (10),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Beauty (2),40,"hit and burn chance" (4),52 (0x34),"Ember" (0x804),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A weak fire attack that may[New Line]inflict a burn." (0x2938),52 (0x34),Attack (1)
"Flamethrower"  - 53,0,15,Fire (10),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Beauty (2),90,"hit and burn chance" (4),53 (0x35),"Flamethrower" (0x805),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A powerful fire attack that[New Line]may inflict a burn." (0x2939),53 (0x35),Attack (1)
"Trick Room"  - 54,-9,5,Psychc (14),User (5),0,0,false,false,false,false,false,false,true,true,true,true,false,true,false,Neither (0),false,3 (0x3),6,Beauty (2),0,"prevents allies from stat drops by opponents" (46),159 (0x9F),"Trick Room" (0x806),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Slower pokemon move first[New Line]for 5 turns." (0x293A),159 (0x9F),Field Effect (6)
"Water Gun"  - 55,0,25,Water (11),Selected Target (0),100,0,false,true,false,true,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Cute (3),40,No effect (0),55 (0x37),"Water Gun" (0x807),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Squirts water to attack[New Line]the target." (0x293B),55 (0x37),Attack (1)
"Hydro Pump"  - 56,0,5,Water (11),Selected Target (0),80,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Beauty (2),110,No effect (0),308 (0x134),"Hydro Pump" (0x808),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Blasts water at high power[New Line]to strike the target." (0x293C),308 (0x134),Attack (1)
"Surf"  - 57,0,15,Water (11),Both Foes and Ally (6),100,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),38,Beauty (2),95,"hit all adjacent pokemon including underground targets" (147),57 (0x39),"Surf" (0x809),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Creates a huge wave, then[New Line]crashes it down on the foe." (0x293D),57 (0x39),Attack (1)
"Ice Beam"  - 58,0,10,Ice (15),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),20,Beauty (2),90,"hit and freeze chance" (5),58 (0x3A),"Ice Beam" (0x80A),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Blasts the target with an[New Line]icy beam that may freeze it." (0x293E),58 (0x3A),Attack (1)
"Blizzard"  - 59,0,5,Ice (15),Both Foes (4),70,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),1,Beauty (2),110,"hit and freeze chance" (5),59 (0x3B),"Blizzard" (0x80B),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A blast of ice and snow[New Line]which may freeze the target." (0x293F),59 (0x3B),Attack (1)
"Psybeam"  - 60,0,20,Psychc (14),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),44,Beauty (2),65,"hit and confusion chance" (76),62 (0x3E),"Psybeam" (0x80C),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Fires a peculiar ray that[New Line]may confuse the target." (0x2940),62 (0x3E),Attack (1)
"Bubblebeam"  - 61,0,20,Water (11),Selected Target (0),100,10,false,true,false,true,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),14,Beauty (2),65,"hit and speed lowering chance" (70),61 (0x3D),"Bubblebeam" (0x80D),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Forcefully sprays bubbles[New Line]that may lower Speed." (0x2941),61 (0x3D),Attack (1)
"Aurora Beam"  - 62,0,20,Ice (15),Selected Target (0),100,10,false,true,false,false,false,false,true,true,true,true,false,true,false,Special (2),false,1 (0x1),20,Beauty (2),65,"hit and attack lowering chance" (68),62 (0x3E),"Aurora Beam" (0x80E),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Fires a rainbow-colored[New Line]beam that may lower Attack." (0x2942),62 (0x3E),Attack (1)
"Hyper Beam"  - 63,0,5,Normal (0),Selected Target (0),90,0,false,true,false,false,false,true,true,true,true,true,false,true,false,Special (2),true,1 (0x1),19,Cool (1),150,"next turn recharge" (80),63 (0x3F),"Hyper Beam" (0x80F),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Powerful, but leaves the[New Line]user immobile the next turn." (0x2943),63 (0x3F),Attack (1)
"Peck"  - 64,0,35,Flying (2),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Cool (1),35,No effect (0),64 (0x40),"Peck" (0x810),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"Attacks the target with a[New Line]jabbing beak, etc." (0x2944),64 (0x40),Attack (1)
"Drill Peck"  - 65,0,20,Flying (2),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Cool (1),80,No effect (0),65 (0x41),"Drill Peck" (0x811),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A corkscrewing attack, with[New Line]the beak acting as a drill." (0x2945),65 (0x41),Attack (1)
"Dark Pulse"  - 66,0,15,Dark (17),Selected Target (0),100,20,false,true,false,false,true,false,true,true,true,true,false,true,false,Special (2),true,1 (0x1),2,Cool (1),80,"hit and flinch chance" (31),101 (0x65),"Dark Pulse" (0x812),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Attacks with an aura[New Line]of wicked thoughts." (0x2946),101 (0x65),Attack (1)
"Low Kick"  - 67,0,20,Fight (1),Selected Target (0),100,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),13,Tough (5),10,"more damage to heavier foes" (196),67 (0x43),"Low Kick" (0x813),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A kick that inflicts more[New Line]damage on heavier targets." (0x2947),67 (0x43),Attack (1)
"Counter"  - 68,-5,20,Fight (1),Depends On Move (1),100,0,true,false,false,false,false,false,false,true,false,true,false,false,false,Physical (1),false,4 (0x4),5,Tough (5),1,"counter" (89),68 (0x44),"Counter" (0x814),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Retaliates any physical hit[New Line]with double the power." (0x2948),68 (0x44),Misc (10)
