Entry Name,Level up Rate,Catch Rate,Gender Ratio,Exp yield,Base Happiness,Height,Weight,Cry ID,Unknown 1,Unknown 2,National Dex Index,Hoenn dex regional id,Name ID,Species Name ID,Unknown 3,Unknown 4,Unknown 5,Model ID,Types 1,Types 2,Abilities 1,Abilities 2,TM01 Tailwind,TM02 Fire Blast,TM03 U-Turn,TM04 Hurricane,TM05 Sludge Wave,TM06 Dazzling Gleam,TM07 Foul Play,TM08 Power-Up Punch,TM09 Thunder Wave,TM10 Ice Beam,TM11 Will-O-Wisp,TM12 Wild Charge,TM13 Trick Room,TM14 Scald,TM15 Flamethrower,TM16 Iron Head,TM17 Thunderbolt,TM18 Freeze Dry,TM19 Sludge Bomb,TM20 Energy Ball,TM21 Zen Headbutt,TM22 Discharge,TM23 Dragon Pulse,TM24 Superpower,TM25 Earthquake,TM26 Earth Power,TM27 Heat Wave,TM28 Blizzard,TM29 Sucker Punch,TM30 Gunk Shot,TM31 Psyshock,TM32 Shadow Ball,TM33 Rock Slide,TM34 Solarbeam,TM35 Focus Blast,TM36 X-Scissor,TM37 Thunder,TM38 Aerial Ace,TM39 Waterfall,TM40 Dragon Claw,TM41 Toxic,TM42 Flame Charge,TM43 Poison Jab,TM44 Knock Off,TM45 Reflect,TM46 Light Screen,TM47 Surf,TM48 Stone Edge,TM49 Psychic,TM50 Dark Pulse,HM01 Helping Hand,HM02 Substitute,HM03 Facade,HM04 Stomping Tantrum,HM05 Shadow Rush,HM06 Shadow Sky,HM07 Shadow Madness,HM08 Shadow Shake,TutorMove01 Draco Meteor,TutorMove02 Protect,TutorMove03 Wide Guard,TutorMove04 Encore,TutorMove05 Fire Punch,TutorMove06 Thunder Punch,TutorMove07 Ice Punch,TutorMove08 Icy Wind,TutorMove09 Snarl,TutorMove10 Taunt,TutorMove11 Rain Dance,TutorMove12 Sunny Day,Wild Items 1,Wild Items 2,Egg Moves 1,Egg Moves 2,Egg Moves 3,Egg Moves 4,Egg Moves 5,Egg Moves 6,Egg Moves 7,Egg Moves 8,Base Stats HP,Base Stats Attack,Base Stats Defense,Base Stats Sp.Atk,Base Stats Sp.Def,Base Stats Speed,EV Yields HP,EV Yields Attack,EV Yields Defense,EV Yields Sp.Atk,EV Yields Sp.Def,EV Yields Speed,Evolutions 1 Evolution Method,Evolutions 1 Evolution Condition,Evolutions 1 Evolved Form,Evolutions 2 Evolution Method,Evolutions 2 Evolution Condition,Evolutions 2 Evolved Form,Evolutions 3 Evolution Method,Evolutions 3 Evolution Condition,Evolutions 3 Evolved Form,Evolutions 4 Evolution Method,Evolutions 4 Evolution Condition,Evolutions 4 Evolved Form,Evolutions 5 Evolution Method,Evolutions 5 Evolution Condition,Evolutions 5 Evolved Form,Level Up Moves 1 Level,Level Up Moves 1 Move,Level Up Moves 2 Level,Level Up Moves 2 Move,Level Up Moves 3 Level,Level Up Moves 3 Move,Level Up Moves 4 Level,Level Up Moves 4 Move,Level Up Moves 5 Level,Level Up Moves 5 Move,Level Up Moves 6 Level,Level Up Moves 6 Move,Level Up Moves 7 Level,Level Up Moves 7 Move,Level Up Moves 8 Level,Level Up Moves 8 Move,Level Up Moves 9 Level,Level Up Moves 9 Move,Level Up Moves 10 Level,Level Up Moves 10 Move,Level Up Moves 11 Level,Level Up Moves 11 Move,Level Up Moves 12 Level,Level Up Moves 12 Move,Level Up Moves 13 Level,Level Up Moves 13 Move,Level Up Moves 14 Level,Level Up Moves 14 Move,Level Up Moves 15 Level,Level Up Moves 15 Move,Level Up Moves 16 Level,Level Up Moves 16 Move,Level Up Moves 17 Level,Level Up Moves 17 Move,Level Up Moves 18 Level,Level Up Moves 18 Move,Level Up Moves 19 Level,Level Up Moves 19 Move,Regular Sprites Pokedex Colour ID,Regular Sprites Face ID,Regular Sprites Purify Chamber Image ID,Shiny Sprites Pokedex Colour ID,Shiny Sprites Face ID,Shiny Sprites Purify Chamber Image ID
"Starmie"  - 121,Very Fast (1),60,Genderless (255),207,70 (0x46),11,800,583 (0x247),121 (0x79),1360 (0x550),121,144,"Starmie" (0x461),"Mysterious" (0x68F),0 (0x0),127 (0x7F),513 (0x201),pkx_starmie.fsys (121),Water (11),Psychc (14),Filter (101),Natural Cure (30),false,false,true,false,false,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,false,true,false,true,false,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,false,true,true,true,false,false,false,true,false,false,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),75,80,85,110,85,115,0,0,0,0,0,3,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Cosmic Power (322),1,Water Gun (55),1,Confusion (93),1,Absorb (71),20,Recover (105),25,Water Pulse (352),26,Rain Dance (240),28,Ancientpower (246),30,Psybeam (60),32,Freeze Dry (198),35,Signal Beam (324),38,Power Gem (285),40,Earth Power (11),43,Surf (57),46,Ice Beam (58),50,Psystrike (218),55,Hydro Pump (56),60,Psycho Boost (354),48,Calm Mind (129),7 (0x7),face121.gtx Regular (121),poke_dance.fsys -> starmie.atx (0x1E1A3200),7 (0x7),face121.gtx Shiny (507),poke_dance.fsys -> starmie_c.atx (0x1E1B3200)
"Mr. Mime"  - 122,Very Fast (1),45,50% Male (127),136,70 (0x46),13,545,584 (0x248),122 (0x7A),1360 (0x550),122,280,"Mr. Mime" (0x462),"Barrier" (0x6A9),0 (0x0),128 (0x80),514 (0x202),pkx_barrierd.fsys (122),Psychc (14),Fairy (9),Technician (66),None (0),false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),65,95,65,95,130,90,0,0,0,0,3,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Heart Stamp (170),1,Force Palm (158),1,Shadow Punch (325),1,Nasty Plot (140),62,Drain Punch (22),64,Hex (251),66,Rock Tomb (317),68,Light Screen (113),70,Draining Kiss (167),72,Shock Wave (351),74,Silver Wind (318),76,Razor Leaf (75),78,Icy Wind (196),80,Feint Attack (185),69,Reflect (115),0,None (0),0,None (0),0,None (0),0,None (0),10 (0xA),face122.gtx Regular (122),poke_dance.fsys -> barrierd.atx (0x1BAF3200),10 (0xA),face122.gtx Shiny (508),poke_dance.fsys -> barrierd_c.atx (0x1BB03200)
"Scyther"  - 123,Very Fast (1),60,50% Male (127),187,70 (0x46),15,560,585 (0x249),123 (0x7B),1360 (0x550),123,281,"Scyther" (0x463),"Mantis" (0x61C),0 (0x0),129 (0x81),515 (0x203),pkx_strike.fsys (123),Bug (6),Flying (2),Gale Wings (67),None (0),true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,true,true,Charti Berry (153),Occa Berry (158),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),75,120,80,55,80,105,0,1,0,0,0,0,Evolution Stone (7),99 (0x63),Scizor (212),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Peck (64),1,Featherdance (297),1,Metal Claw (232),1,Fury Cutter (210),20,Feint Attack (185),22,Aerial Ace (332),25,Steel Wing (211),28,U-Turn (287),31,Poison Jab (15),34,Drill Peck (65),37,Swords Dance (14),40,Lunge (145),43,Sky Uppercut (327),46,Meteor Mash (309),50,Stone Edge (39),53,Superpower (276),56,Brave Bird (123),60,Power Whip (313),1,Bullet Punch (1),4 (0x4),face123.gtx Regular (123),poke_dance.fsys -> strike.atx (0x1E1C3200),4 (0x4),face123.gtx Shiny (509),poke_dance.fsys -> strike_c.atx (0x1E1D3200)
"Jynx"  - 124,Very Fast (1),45,Female Only (254),137,70 (0x46),14,406,586 (0x24A),124 (0x7C),1360 (0x550),124,282,"Jynx" (0x464),"Human Shape" (0x6AE),0 (0x0),130 (0x82),516 (0x204),pkx_rougela.fsys (124),Ice (15),Psychc (14),Refrigerate (86),Unaware (21),false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,false,false,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,false,true,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),85,55,50,135,125,100,0,0,0,3,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Aurora Veil (32),1,Draining Kiss (167),1,Confusion (93),1,Sweet Kiss (186),25,Icy Wind (196),28,Lovely Kiss (142),30,Psybeam (60),33,Hail (258),36,Freeze Dry (198),38,Shadow Ball (247),40,Tri Attack (161),43,Ice Beam (58),46,Hyper Voice (304),48,Psystrike (218),50,Blizzard (59),53,Hyper Beam (63),56,Psycho Boost (354),60,Boomburst (253),0,None (0),1 (0x1),face124.gtx Regular (124),poke_dance.fsys -> rougela.atx (0x1DE63200),1 (0x1),face124.gtx Shiny (510),poke_dance.fsys -> rougela_c.atx (0x1DE73200)
"Electabuzz"  - 125,Very Fast (1),45,75% Male (63),156,70 (0x46),11,300,587 (0x24B),125 (0x7D),1360 (0x550),125,283,"Electabuzz" (0x465),"Electric" (0x678),0 (0x0),131 (0x83),517 (0x205),pkx_eleboo.fsys (125),Electr (13),Electr (13),Defiant (103),Static (9),false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,true,true,false,false,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false,true,false,false,false,true,false,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),75,115,65,95,95,105,0,0,0,0,0,2,Evolves in Generation 4 (XG) (17),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Spark (209),1,Needle Arm (302),1,Heart Stamp (170),1,Force Palm (158),32,Sucker Punch (21),34,Volt Switch (289),36,Swords Dance (14),38,Thunder Punch (9),40,Fire Punch (7),42,Ice Punch (8),45,Drill Run (312),48,Zen Headbutt (5),50,Wild Charge (248),53,Meteor Mash (309),56,Hammer Arm (118),60,Ice Hammer (249),62,Thunder (87),65,Volt Tackle (344),0,None (0),3 (0x3),face125.gtx Regular (125),poke_dance.fsys -> eleboo.atx (0x1C213200),3 (0x3),face125.gtx Shiny (511),poke_dance.fsys -> eleboo_c.atx (0x1C223200)
"Magmar"  - 126,Very Fast (1),45,75% Male (63),167,70 (0x46),13,445,588 (0x24C),126 (0x7E),1360 (0x550),126,284,"Magmar" (0x466),"Spitfire" (0x6B1),0 (0x0),132 (0x84),518 (0x206),pkx_boober.fsys (126),Fire (10),Fire (10),Competitive (104),Flame Body (49),false,true,false,false,true,false,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,false,true,true,true,true,false,false,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,false,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),80,95,70,125,85,95,0,0,0,2,0,0,Evolves in Generation 4 (XG) (17),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Mud Shot (341),1,Dragonbreath (225),1,Ancientpower (246),1,Flame Wheel (172),32,Signal Beam (324),34,Lava Plume (233),36,Nasty Plot (140),38,Aura Sphere (4),40,Sunny Day (241),43,Power Gem (285),46,Flash Cannon (295),50,Energy Ball (91),53,Flamethrower (53),55,Earth Power (11),58,Solarbeam (76),60,Overheat (315),62,Boomburst (253),65,Eruption (284),0,None (0),1 (0x1),face126.gtx Regular (126),poke_dance.fsys -> boober.atx (0x1BC33200),1 (0x1),face126.gtx Shiny (512),poke_dance.fsys -> boober_c.atx (0x1BC43200)
"Pinsir"  - 127,Very Fast (1),100,50% Male (127),200,70 (0x46),15,550,589 (0x24D),127 (0x7F),1360 (0x550),127,167,"Pinsir" (0x467),"Stag Beetle" (0x634),0 (0x0),133 (0x85),519 (0x207),pkx_kailios.fsys (127),Bug (6),Bug (6),Moxie (58),Hyper Cutter (52),false,false,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,false,false,false,true,false,false,true,true,true,true,true,true,false,true,false,true,true,false,false,false,false,false,false,true,true,true,Tanga Berry (154),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),70,125,125,25,85,85,0,2,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Circle Throw (116),1,Bug Bite (40),1,Swords Dance (14),1,Bite (44),25,Needle Arm (302),30,U-Turn (287),33,Acrobatics (178),35,Night Slash (168),38,Psycho Cut (307),40,X-Scissor (36),43,Crunch (242),46,Iron Head (19),50,Leech Life (81),53,Foul Play (151),56,First Impression (24),60,Stone Edge (39),65,Close Combat (119),70,Megahorn (224),0,None (0),6 (0x6),face127.gtx Regular (127),poke_dance.fsys -> kailios.atx (0x1CAC3200),6 (0x6),face127.gtx Shiny (513),poke_dance.fsys -> kailios_c.atx (0x1CAD3200)
"Tauros"  - 128,Very Fast (1),150,Male Only (0),211,70 (0x46),14,884,590 (0x24E),128 (0x80),1360 (0x550),128,285,"Tauros" (0x468),"Wild Bull" (0x5E3),0 (0x0),134 (0x86),520 (0x208),pkx_kentauros.fsys (128),Normal (0),Normal (0),Intimidate (22),Reckless (99),false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,false,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,false,false,true,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,true,false,true,true,true,Chilan Berry (148),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),95,105,95,40,70,110,0,1,0,0,0,2,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Feint Attack (185),1,Bulldoze (222),1,Heart Stamp (170),1,Swords Dance (14),25,Headbutt (29),30,Stomping Tantrum (175),33,Lunge (145),36,Extremespeed (245),40,Play Rough (70),42,Wild Charge (248),44,Aqua Tail (49),46,High Horsepower (278),48,Iron Tail (231),50,Double-Edge (38),53,Earthquake (89),56,Megahorn (224),60,Flare Blitz (25),65,Head Smash (131),0,None (0),6 (0x6),face128.gtx Regular (128),poke_dance.fsys -> kentauros.atx (0x1CC33200),6 (0x6),face128.gtx Shiny (514),poke_dance.fsys -> kentauros_c.atx (0x1CC43200)
"Magikarp"  - 129,Very Fast (1),255,50% Male (127),20,70 (0x46),9,100,591 (0x24F),129 (0x81),1359 (0x54F),129,52,"Magikarp" (0x469),"Fish" (0x649),0 (0x0),135 (0x87),521 (0x209),pkx_koiking.fsys (129),Water (11),Water (11),Swift Swim (33),Rattled (60),false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),50,65,40,30,50,80,0,0,0,0,0,1,Level Up (4),20 (0x14),Gyarados (130),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Splash (74),25,Tackle (33),50,Outrage (200),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),1 (0x1),face129.gtx Regular (129),poke_dance.fsys -> koiking.atx (0x1CDD3200),1 (0x1),face129.gtx Shiny (515),poke_dance.fsys -> koiking_c.atx (0x1CDE3200)
"Gyarados"  - 130,Very Fast (1),45,50% Male (127),224,70 (0x46),65,2350,592 (0x250),130 (0x82),1357 (0x54D),130,53,"Gyarados" (0x46A),"Atrocious" (0x62B),0 (0x0),136 (0x88),522 (0x20A),pkx_gyarados.fsys (130),Water (11),Flying (2),Unaware (21),None (0),false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,true,true,false,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,true,false,true,false,false,false,true,true,false,false,true,true,true,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,true,false,Wacan Berry (161),Charti Berry (153),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),95,130,80,60,104,81,0,2,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Aqua Tail (49),1,Dragon Hammer (90),1,Play Rough (70),1,Dragon Dance (349),72,Psychic Fangs (135),74,Crunch (242),76,Ice Hammer (249),78,Stone Edge (39),80,Iron Tail (231),82,Outrage (200),85,Dragon Ascent (316),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),2 (0x2),face130.gtx Regular (130),poke_dance.fsys -> gyarados.atx (0x1C613200),2 (0x2),face130.gtx Shiny (516),poke_dance.fsys -> gyarados_c.atx (0x1C623200)
"Lapras"  - 131,Very Fast (1),45,50% Male (127),235,70 (0x46),25,2200,593 (0x251),131 (0x83),1360 (0x550),131,286,"Lapras" (0x46B),"Transport" (0x69F),0 (0x0),137 (0x89),523 (0x20B),pkx_laplace.fsys (131),Water (11),Ice (15),Serene Grace (32),None (0),false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,true,true,false,true,true,false,true,false,true,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,false,false,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false,true,false,true,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),145,90,85,90,100,60,3,0,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Ice Beam (58),1,Hail (258),1,Liquidation (230),1,Iron Head (19),73,Zen Headbutt (5),75,Aurora Veil (32),77,Body Slam (34),80,Perish Song (195),82,Earth Power (11),84,Thunderbolt (85),86,Moonblast (296),88,Hydro Pump (56),90,Blizzard (59),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),2 (0x2),face131.gtx Regular (131),poke_dance.fsys -> laplace.atx (0x1CF23200),2 (0x2),face131.gtx Shiny (517),poke_dance.fsys -> laplace_c.atx (0x1CF33200)
"Ditto"  - 132,Very Fast (1),35,Genderless (255),61,70 (0x46),3,40,594 (0x252),132 (0x84),1360 (0x550),132,287,"Ditto" (0x46C),"Transform" (0x6C0),0 (0x0),138 (0x8A),524 (0x20C),pkx_metamon.fsys (132),Normal (0),Normal (0),Prankster (89),None (0),false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),99,99,99,99,99,99,1,0,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Assist (274),1,Wide Guard (266),1,Substitute (164),1,Body Slam (34),74,Hypnosis (95),76,Yawn (281),78,Extrasensory (326),80,Trick Room (54),81,Double-Edge (38),83,Aurora Veil (32),85,Heal Bell (215),87,Belly Drum (187),88,Spikes (191),90,Recover (105),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),7 (0x7),face132.gtx Regular (132),poke_dance.fsys -> metamon.atx (0x1D2A3200),7 (0x7),face132.gtx Shiny (518),poke_dance.fsys -> metamon_c.atx (0x1D2B3200)
"Eevee"  - 133,Very Fast (1),225,87.5% Male (31),92,70 (0x46),3,65,595 (0x253),133 (0x85),1360 (0x550),133,288,"Eevee" (0x46D),"Evolution" (0x656),0 (0x0),139 (0x8B),525 (0x20D),pkx_eievui.fsys (133),Normal (0),Normal (0),Arena Trap (71),None (0),false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,Fire Stone (95),Sun Stone (93),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),60,75,60,65,80,60,0,0,0,0,1,0,Evolution Stone (7),96 (0x60),Jolteon (135),Evolution Stone (7),97 (0x61),Vaporeon (134),Evolution Stone (7),95 (0x5F),Flareon (136),Evolution Stone (7),93 (0x5D),Espeon (196),Evolution Stone (7),94 (0x5E),Umbreon (197),1,Sand-Attack (28),1,Charm (204),1,Quick Attack (98),1,Thunder Wave (86),20,Draining Kiss (167),25,Snarl (6),27,Wish (273),30,False Swipe (206),32,Spore (147),34,Volt Switch (289),36,Brick Break (280),38,Stomping Tantrum (175),40,Rock Slide (157),42,Tri Attack (161),44,Extremespeed (245),46,Protect (155),48,Curse (174),50,Taunt (269),55,Cotton Guard (160),6 (0x6),face133.gtx Regular (133),poke_dance.fsys -> eievui.atx (0x1C1B3200),6 (0x6),face133.gtx Shiny (519),poke_dance.fsys -> eievui_c.atx (0x1C1C3200)
"Vaporeon"  - 134,Very Fast (1),45,87.5% Male (31),196,70 (0x46),10,290,596 (0x254),134 (0x86),1360 (0x550),134,289,"Vaporeon" (0x46E),"Bubble Jet" (0x5E9),0 (0x0),140 (0x8C),526 (0x20E),pkx_showers.fsys (134),Water (11),Water (11),Storm Drain (96),Water Absorb (11),false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,true,false,true,true,true,false,false,false,true,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),165,50,75,120,100,65,3,0,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Aqua Jet (37),1,Rain Dance (240),1,Hail (258),1,Icicle Spear (333),20,Powder Snow (181),25,Aurora Veil (32),30,Water Pulse (352),32,Snarl (6),34,Icy Wind (196),36,Bubblebeam (61),38,Freeze Dry (198),40,Scald (17),43,Ice Beam (58),46,Surf (57),48,Moonblast (296),50,Psystrike (218),55,Hydro Pump (56),60,Hyper Beam (63),0,None (0),2 (0x2),face134.gtx Regular (134),poke_dance.fsys -> showers.atx (0x1E063200),2 (0x2),face134.gtx Shiny (520),poke_dance.fsys -> showers_c.atx (0x1E073200)
"Jolteon"  - 135,Very Fast (1),45,87.5% Male (31),197,70 (0x46),8,245,597 (0x255),135 (0x87),1360 (0x550),135,290,"Jolteon" (0x46F),"Lightning" (0x61F),0 (0x0),141 (0x8D),527 (0x20F),pkx_thunders.fsys (135),Electr (13),Electr (13),Lightningrod (31),Volt Absorb (10),false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,true,true,true,false,false,false,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,false,false,false,true,true,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),85,70,70,120,95,135,0,0,0,0,0,3,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Charge Beam (143),1,Wish (273),1,Thunder Wave (86),1,Nuzzle (336),20,Mud Shot (341),25,Aurora Beam (62),30,Shock Wave (351),32,Snarl (6),34,Volt Switch (289),36,Dark Pulse (66),38,Discharge (134),40,Dazzling Gleam (169),43,Thunderbolt (85),46,Earth Power (11),48,Foul Play (151),50,Thunder (87),55,Zap Cannon (192),60,Hyper Beam (63),0,None (0),3 (0x3),face135.gtx Regular (135),poke_dance.fsys -> thunders.atx (0x1E333200),3 (0x3),face135.gtx Shiny (521),poke_dance.fsys -> thunders_c.atx (0x1E343200)
"Flareon"  - 136,Very Fast (1),45,87.5% Male (31),198,70 (0x46),9,250,598 (0x256),136 (0x88),1360 (0x550),136,291,"Flareon" (0x470),"Flame" (0x6C8),0 (0x0),142 (0x8E),528 (0x210),pkx_booster.fsys (136),Fire (10),Fire (10),Flash Fire (18),Guts (62),false,true,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,false,true,true,true,false,false,true,false,false,true,false,true,true,false,true,true,true,true,false,false,false,false,false,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,false,false,false,true,true,true,false,false,false,false,false,true,false,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),85,135,75,95,120,65,0,3,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Will-O-Wisp (261),1,Sunny Day (241),1,Flame Charge (77),1,Shadow Sneak (41),20,Metal Claw (232),25,Morning Sun (234),30,Flame Wheel (172),32,Bite (44),34,Fire Fang (213),36,Iron Head (19),38,Play Rough (70),40,Aqua Tail (49),42,Sacred Fire (221),45,Earthquake (89),47,Iron Tail (231),50,Flare Blitz (25),55,Overheat (315),60,Explosion (153),0,None (0),1 (0x1),face136.gtx Regular (136),poke_dance.fsys -> booster.atx (0x1BC73200),1 (0x1),face136.gtx Shiny (522),poke_dance.fsys -> booster_c.atx (0x1BC83200)
