Entry Name,Species,Level,Happiness,Item,Unknown Flag 1,Unknown Flag 2,Unknown Flag 3,Unknown Flag 4,Unknown Flag 5,Unknown Flag 6,Unknown Flag 7,Unknown Flag 8,Unknown,IVs HP,IVs Attack,IVs Defense,IVs Sp.Atk,IVs Sp.Def,IVs Speed,EVs HP,EVs Attack,EVs Defense,EVs Sp.Atk,EVs Sp.Def,EVs Speed,Moves 1,Moves 2,Moves 3,Moves 4,Shininess,Use species second ability,Gender,Nature,Unknown 2
Ludicolo - 10,Ludicolo (297),50,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Earth Power (11),Rain Dance (240),Power Gem (285),Scald (17),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Sharpedo - 11,Sharpedo (331),50,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Dragon Hammer (90),Wild Charge (248),Surf (57),Psychic Fangs (135),Never (0x0),FALSE,Female (1),Timid (10),0 (0x0)
Ludicolo - 12,Ludicolo (297),60,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Solarbeam (76),Hydro Pump (56),First Impression (24),Surf (57),Never (0x0),FALSE,Female (1),Timid (10),0 (0x0)
Medicham - 13,Medicham (357),60,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Stone Edge (39),Hi Jump Kick (136),Dynamicpunch (223),Ice Hammer (249),Never (0x0),FALSE,Male (0),Timid (10),0 (0x0)
Vulpix - 14,Vulpix (37),3,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Fire Spin (83),Smokescreen (108),Ember (52),Mud Shot (341),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Vulpix - 15,Vulpix (37),9,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Fire Spin (83),Smokescreen (108),Ember (52),Mud Shot (341),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Nidoking - 16,Nidoking (34),37,0,Expert Belt (58),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Poison Jab (15),Brick Break (280),Thunder Punch (9),Crunch (242),Never (0x0),FALSE,Male (0),Adamant (3),0 (0x0)
Wingull - 17,Wingull (309),5,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Water Gun (55),Growl (45),None (0),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Krabby - 18,Krabby (98),5,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,False Swipe (206),Water Gun (55),None (0),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Pidgey - 19,Pidgey (16),5,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Peck (64),Sand-Attack (28),None (0),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Pidgey - 20,Pidgey (16),11,0,Carbos (66),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Metal Claw (232),Screech (103),Mud-Slap (189),Gust (16),Never (0x0),FALSE,Female (1),Hardy (0),128 (0x80)
Krabby - 21,Krabby (98),5,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Aqua Jet (37),Hone Claws (12),None (0),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Tentacool - 22,Tentacool (72),6,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Water Gun (55),Sludge (124),Rain Dance (240),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Mankey - 23,Mankey (56),6,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Low Kick (67),Astonish (310),None (0),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Machop - 24,Machop (66),6,0,Big Mushroom (104),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Fake Out (252),Bulk Up (339),Mach Punch (183),Rock Throw (88),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Magnemite - 25,Magnemite (81),3,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Metal Sound (319),Thunder Shock (84),Thunder Wave (86),None (0),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Sneasel - 26,Sneasel (215),6,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Pursuit (228),Hail (258),Ice Shard (96),Metal Claw (232),Never (0x0),FALSE,Female (1),Jolly (13),0 (0x0)
Growlithe - 27,Growlithe (58),7,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Flame Charge (77),Growl (45),Snarl (6),Feint (338),Never (0x0),FALSE,Male (0),Adamant (3),0 (0x0)
Ralts - 28,Ralts (392),3,0,Aura Booster (59),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Confuse Ray (109),Disable (50),Fairy Wind (176),Confusion (93),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Magnemite - 29,Magnemite (81),3,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Thunder Shock (84),Iron Defense (334),Thunder Wave (86),None (0),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Beldum - 30,Beldum (398),5,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Metal Sound (319),Light Screen (113),Confusion (93),None (0),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Spoink - 31,Spoink (351),7,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Confusion (93),Snarl (6),Light Screen (113),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Pichu - 32,Pichu (172),6,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Thunder Shock (84),Charm (204),Nuzzle (336),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Kakuna - 33,Kakuna (14),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Tackle (33),Iron Defense (334),Fury Cutter (210),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Pikachu - 34,Pikachu (25),9,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Nuzzle (336),Baby Doll Eyes (23),Feint (338),Thunder Wave (86),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Swinub - 35,Swinub (220),6,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Ice Shard (96),Mud-Slap (189),Rock Throw (88),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Snorunt - 36,Snorunt (346),7,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Ice Shard (96),Rock Throw (88),Screech (103),None (0),Never (0x0),TRUE,Female (1),Hardy (0),0 (0x0)
Machamp - 37,Machamp (68),40,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Iron Head (19),Drain Punch (22),Body Slam (34),Drill Run (312),Never (0x0),FALSE,Male (0),Hardy (0),128 (0x80)
Tyrogue - 38,Tyrogue (236),7,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Power-Up Punch (130),Growl (45),None (0),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Makuhita - 39,Makuhita (335),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Arm Thrust (292),Bulk Up (339),None (0),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Regice - 40,Regice (402),58,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Protect (182),Water Pulse (352),Thunder Wave (86),Blizzard (59),Never (0x0),FALSE,Genderless (2),Sassy (22),0 (0x0)
Spearow - 41,Spearow (21),6,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Peck (64),Growl (45),None (0),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Zigzagoon - 42,Zigzagoon (288),7,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Mud-Slap (189),Growl (45),Sand-Attack (28),Tackle (33),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Staryu - 43,Staryu (120),18,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Water Pulse (352),Disable (50),Confusion (93),Recover (105),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Shuckle - 44,Shuckle (213),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Shell Smash (112),Pin Missile (42),Rock Throw (88),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Snorunt - 45,Snorunt (346),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Powder Snow (181),Swagger (207),Double Team (104),Bite (44),Never (0x0),TRUE,Male (0),Hardy (0),0 (0x0)
Shuppet - 46,Shuppet (377),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Lick (122),Screech (103),Confuse Ray (109),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Taillow - 47,Taillow (304),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Peck (64),Screech (103),Mud-Slap (189),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Blissey - 48,Blissey (242),33,0,Leftovers (200),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Toxic (92),Body Slam (34),Slack Off (303),Protect (182),Never (0x0),FALSE,Female (1),Calm (20),0 (0x0)
Bellsprout - 49,Bellsprout (69),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Absorb (71),Screech (103),Leech Seed (73),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Ledyba - 50,Ledyba (165),9,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Pin Missile (42),Light Screen (113),Gust (16),None (0),Never (0x0),TRUE,Female (1),Hardy (0),0 (0x0)
Spinarak - 51,Spinarak (167),8,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Infestation (35),Leech Life (81),Scary Face (184),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Hoothoot - 52,Hoothoot (163),9,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Hypnosis (95),Growl (45),Pursuit (228),Peck (64),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Quilava - 53,Quilava (156),34,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Mud Shot (341),Toxic (92),Dragonbreath (225),Will-O-Wisp (261),Never (0x0),TRUE,Female (1),Modest (15),0 (0x0)
Eevee - 54,Eevee (133),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Sand-Attack (28),Charm (204),Quick Attack (98),Thunder Wave (86),Never (0x0),FALSE,Female (1),Modest (15),0 (0x0)
Snorunt - 55,Snorunt (346),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Powder Snow (181),Swagger (207),Double Team (104),Bite (44),Never (0x0),TRUE,Female (1),Hardy (0),0 (0x0)
Ponyta - 56,Ponyta (77),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Agility (97),Smokescreen (108),Fire Spin (83),Ember (52),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Forretress - 57,Forretress (205),38,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,U-Turn (287),Iron Defense (334),Headbutt (29),X-Scissor (36),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Skitty - 58,Skitty (315),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Helping Hand (270),Confusion (93),Baby Doll Eyes (23),Disarming Voice (146),Never (0x0),TRUE,Female (1),Hardy (0),0 (0x0)
Meowth - 59,Meowth (52),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Fake Out (252),Growl (45),Disable (50),Low Kick (67),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Lotad - 60,Lotad (295),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Leech Seed (73),Absorb (71),Fake Out (252),Water Gun (55),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Nidoran♂ - 61,Nidoran♂ (32),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Peck (64),Mud-Slap (189),Helping Hand (270),Low Kick (67),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Growlithe - 62,Growlithe (58),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Ember (52),Sunny Day (241),Bite (44),Taunt (269),Never (0x0),FALSE,Male (0),Modest (15),0 (0x0)
Spheal - 63,Spheal (341),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Whirlpool (250),Powder Snow (181),Water Gun (55),Encore (227),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Houndour - 64,Houndour (228),17,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Feint Attack (185),Charm (204),Ember (52),Dragon Tail (46),Never (0x0),TRUE,Male (0),Hardy (0),0 (0x0)
Growlithe - 65,Growlithe (58),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Ember (52),Quick Attack (98),Growl (45),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Cuddles - 66,Cuddles (260),19,0,Sitrus Berry (142),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Helping Hand (270),Baby Doll Eyes (23),Draining Kiss (167),Light Screen (113),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Goldeen - 67,Goldeen (118),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Peck (64),Aqua Jet (37),Agility (97),Baby Doll Eyes (23),Never (0x0),TRUE,Female (1),Hardy (0),0 (0x0)
Spheal - 68,Spheal (341),17,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Aurora Beam (62),Charm (204),Water Gun (55),Mud-Slap (189),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Baltoy - 69,Baltoy (318),17,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Rock Tomb (317),Calm Mind (347),Mud-Slap (189),Psybeam (60),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Sandshrew - 70,Sandshrew (27),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Mud-Slap (189),Tackle (33),None (0),None (0),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Huntail - 71,Huntail (374),61,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Protect (155),Iron Tail (231),Ice Hammer (249),Earthquake (89),Never (0x0),TRUE,Male (0),Hardy (0),0 (0x0)
Voltorb - 72,Voltorb (100),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Nuzzle (336),Helping Hand (270),Metal Sound (319),Quick Attack (98),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Mr.Tickles - 73,Mr.Tickles (261),23,0,Lum Berry (141),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Play Rough (70),Poison Fang (305),Crunch (242),Ice Fang (282),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Dratini - 74,Dratini (147),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Whirlpool (250),Tackle (33),None (0),None (0),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Porygon2 - 75,Porygon2 (233),35,0,Rocky Helmet (220),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Blizzard (59),Tri Attack (161),Charge Beam (143),Protect (155),Never (0x0),FALSE,Genderless (2),Sassy (22),128 (0x80)
Gulpin - 76,Gulpin (367),17,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Shock Wave (351),Sing (47),Sludge (124),Toxic (92),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Flaaffy - 77,Flaaffy (180),24,0,Iapapa Berry (147),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Charge Beam (143),Hypnosis (95),Psybeam (60),Volt Switch (289),Never (0x0),TRUE,Female (1),Bold (5),0 (0x0)
Shroomish - 78,Shroomish (306),10,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Absorb (71),Stun Spore (78),Sleep Powder (79),Leech Seed (73),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Bubbles - 79,Bubbles (259),59,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Protect (182),Superpower (276),Waterfall (127),Play Rough (70),Never (0x0),FALSE,Female (1),Adamant (3),0 (0x0)
Gengar - 80,Gengar (94),60,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Fire Blast (126),Zap Cannon (192),Dragon Pulse (110),Sludge Wave (308),Never (0x0),TRUE,Male (0),Hardy (0),0 (0x0)
Ninjask - 81,Ninjask (302),54,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Protect (182),Aerial Ace (332),U-Turn (287),Cross Poison (342),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Shedinja - 82,Shedinja (303),56,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Protect (182),Aerial Ace (332),X-Scissor (36),Confuse Ray (109),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Seedot - 83,Seedot (298),17,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Giga Drain (202),U-Turn (287),Bullet Seed (331),Shadow Strength (290),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
