Entry Name,Species,Level,Happiness,Item,AI Role,Is Key Strategic Pokemon,IVs HP,IVs Attack,IVs Defense,IVs Sp.Atk,IVs Sp.Def,IVs Speed,EVs HP,EVs Attack,EVs Defense,EVs Sp.Atk,EVs Sp.Def,EVs Speed,Moves 1,Moves 2,Moves 3,Moves 4,Shininess,Use species second ability,Gender,Nature,Can Fill Combo A Role 1,Can Fill Combo A Role 2,Can Fill Combo B Role 1,Can Fill Combo B Role 2
Aron - 14,Aron (382),24,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Iron Defense (334),Body Slam (34),Revenge (279),Metal Claw (232),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Geodude - 15,Geodude (74),21,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Rock Blast (350),Sandstorm (201),Bulldoze (222),Rock Slide (157),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Flaaffy - 16,Flaaffy (180),23,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Charge Beam (143),Hypnosis (95),Psybeam (60),Volt Switch (289),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Breloom - 17,Breloom (307),20,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Mach Punch (183),Bullet Seed (331),Poison Jab (15),Rock Tomb (317),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Lombre - 18,Lombre (296),20,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Leech Seed (73),Mega Drain (72),Water Pulse (352),Rain Dance (240),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Nosepass - 19,Nosepass (320),24,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Rock Polish (159),Sand Tomb (328),Rock Throw (88),Protect (155),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Omanyte - 20,Omanyte (138),23,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Icy Wind (196),Shell Smash (112),Mud Shot (341),Water Pulse (352),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Ariados - 21,Ariados (168),23,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bug Bite (40),Infestation (35),Scary Face (184),Poison Fang (305),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Gloom - 22,Gloom (44),25,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Mega Drain (72),Mud Shot (341),Leech Seed (73),Mud-Slap (189),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Krabby - 23,Krabby (98),26,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Rain Dance (240),Metal Claw (232),Aqua Jet (37),Mud-Slap (189),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Beautifly - 24,Beautifly (292),26,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Morning Sun (234),Giga Drain (202),Gust (16),Stun Spore (78),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Starmie - 25,Starmie (121),26,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Recover (105),Water Pulse (352),Confusion (93),Absorb (71),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Anorith - 26,Anorith (390),24,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Aqua Jet (37),Rock Blast (350),X-Scissor (36),Infestation (35),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Farfetch'd - 27,Farfetch'd (83),25,0,None (0),サポーター  (3),0,0,0,0,0,0,0,0,0,0,0,0,0,Fury Cutter (210),Rock Tomb (317),Knock Off (48),Aerial Ace (332),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Venomoth - 28,Venomoth (49),29,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Quiver Dance (141),Sludge Bomb (188),Bug Buzz (30),Energy Ball (91),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Seel - 29,Seel (86),25,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Headbutt (29),Growl (45),Icy Wind (196),Aurora Beam (62),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Psyduck - 30,Psyduck (54),26,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Metal Claw (232),Yawn (281),Water Gun (55),Confusion (93),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Rhyhorn - 31,Rhyhorn (111),21,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Rock Tomb (317),Bulldoze (222),Swords Dance (14),Metal Claw (232),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Scyther - 32,Scyther (123),28,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Feint Attack (185),Aerial Ace (332),Steel Wing (211),Fury Cutter (210),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Beedrill - 33,Beedrill (15),28,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bullet Punch (1),Cross Poison (342),Feint Attack (185),First Impression (24),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Dustox - 34,Dustox (294),28,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Hidden Power (314),Sludge Bomb (188),Quiver Dance (141),Bug Bite (40),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Heracross - 35,Heracross (214),29,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Night Slash (168),Lunge (145),Rock Slide (157),Seed Bomb (106),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Nidorina - 36,Nidorina (30),29,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder Punch (9),Bulldoze (222),Force Palm (158),Heart Stamp (170),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Corphish - 37,Corphish (326),29,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bubblebeam (61),Protect (182),Ice Fang (282),Slash (163),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Yanma - 38,Yanma (193),29,0,None (0),スペシャリスト  (4),0,0,0,0,0,0,0,0,0,0,0,0,0,Energy Ball (91),Air Slash (154),Bug Buzz (30),Double Team (104),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Kabuto - 39,Kabuto (140),21,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Rock Throw (88),Aqua Jet (37),Metal Claw (232),Hone Claws (12),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Hariyama - 40,Hariyama (336),31,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bulk Up (339),Heart Stamp (170),Feint (338),Power-Up Punch (130),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Meditite - 41,Meditite (356),31,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Force Palm (158),Heart Stamp (170),Disable (50),Bullet Punch (1),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Machoke - 42,Machoke (67),31,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bullet Punch (1),Power-Up Punch (130),Payback (107),Heart Stamp (170),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Dragonair - 43,Dragonair (148),31,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder Punch (9),Flame Charge (77),Dragon Tail (46),Aerial Ace (332),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Lanturn - 44,Lanturn (171),32,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Pain Split (220),Aurora Beam (62),Bubblebeam (61),Rain Dance (240),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Hitmonlee - 45,Hitmonlee (106),32,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Revenge (279),Low Sweep (27),Knock Off (48),Bulk Up (339),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Electrode - 46,Electrode (101),34,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Shock Wave (351),Psybeam (60),Nasty Plot (140),Silver Wind (318),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Raichu - 47,Raichu (26),34,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Ice Punch (8),Thunder Punch (9),Heart Stamp (170),Fire Punch (7),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Spheal - 48,Spheal (341),21,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Rain Dance (240),Aurora Veil (32),Water Pulse (352),Encore (227),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Mr. Mime - 49,Mr. Mime (122),34,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Heart Stamp (170),Force Palm (158),Shadow Punch (325),Nasty Plot (140),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Chansey - 50,Chansey (113),34,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Extrasensory (326),Charm (204),Body Slam (34),Rest (156),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Jolteon - 51,Jolteon (135),35,0,None (0),サポーター  (3),0,0,0,0,0,0,0,0,0,0,0,0,0,Volt Switch (289),Aurora Beam (62),Shock Wave (351),Snarl (6),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Clefable - 52,Clefable (36),40,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Sing (47),Psybeam (60),Draining Kiss (167),Shock Wave (351),Never (0x0),TRUE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Miltank - 53,Miltank (241),40,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Belly Drum (187),Swagger (207),Bulldoze (222),Yawn (281),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Lairon - 54,Lairon (383),40,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Iron Defense (334),Headbutt (29),Rock Slide (157),Iron Tail (231),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Espeon - 55,Espeon (196),40,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Signal Beam (324),Shadow Ball (247),Extrasensory (326),Calm Mind (129),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Machop - 56,Machop (66),25,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bullet Punch (1),Power-Up Punch (130),Payback (107),Heart Stamp (170),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Azumarill - 57,Azumarill (184),41,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Aqua Tail (49),Drain Punch (22),Ice Punch (8),Zen Headbutt (5),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Metang - 58,Metang (399),41,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Metal Claw (232),Skill Swap (298),Rock Polish (159),Psycho Cut (307),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Hitmonchan - 59,Hitmonchan (107),41,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Sucker Punch (21),Thunder Punch (9),Shadow Punch (325),Heart Stamp (170),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Dugtrio - 60,Dugtrio (51),41,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,High Horsepower (278),Iron Defense (334),Iron Head (19),Double-Edge (38),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Electrode - 61,Electrode (101),43,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Shock Wave (351),Psybeam (60),Nasty Plot (140),Silver Wind (318),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Magneton - 62,Magneton (82),43,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Tri Attack (161),Discharge (134),Flash Cannon (295),Metal Sound (319),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Manectric - 63,Manectric (338),43,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Ice Fang (282),Thunderbolt (85),Snarl (6),Fire Fang (213),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Linoone - 64,Linoone (289),43,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Slash (163),Swords Dance (14),Extremespeed (245),Shadow Claw (139),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Arbok - 65,Arbok (24),43,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Super Fang (162),Crunch (242),Glare (137),Cross Poison (342),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Cradily - 66,Cradily (389),44,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Leech Seed (73),Seed Bomb (106),Rock Slide (157),Leech Life (81),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Victreebel - 67,Victreebel (71),44,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Psycho Cut (307),Brick Break (280),Heart Stamp (170),Spiky Shield (275),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Tangela - 68,Tangela (114),44,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Giga Drain (202),Stun Spore (78),Iron Defense (334),Aura Sphere (4),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Arcanine - 69,Arcanine (59),45,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Fire Fang (213),Swords Dance (14),Crunch (242),Psychic Fangs (135),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Quagsire - 70,Quagsire (195),45,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Recover (105),Drill Run (312),Liquidation (230),Dragon Hammer (90),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Vigoroth - 71,Vigoroth (365),25,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Encore (227),Slack Off (303),Sucker Punch (21),Earthquake (89),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Muk - 72,Muk (89),45,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Fire Punch (7),Curse (174),Drain Punch (22),Thunder Punch (9),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Flareon - 73,Flareon (136),45,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Sacred Fire (221),Earthquake (89),Play Rough (70),Aqua Tail (49),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Gengar - 74,Gengar (94),46,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Destiny Bond (194),Nasty Plot (140),Shadow Ball (247),Hex (251),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Aerodactyl - 75,Aerodactyl (142),46,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Bone Club (10),Iron Head (19),Hone Claws (12),Crunch (242),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Absol - 76,Absol (376),46,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Knock Off (48),Pursuit (228),Swords Dance (14),Stomping Tantrum (175),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Swalot - 77,Swalot (368),47,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Ice Hammer (249),Hammer Arm (118),Rest (156),Sludge Bomb (188),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Masquerain - 78,Masquerain (312),47,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Glare (137),Shadow Ball (247),Yawn (281),Air Slash (154),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Linoone - 79,Linoone (289),25,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Fake Out (252),Growl (45),Quick Attack (98),Pursuit (228),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Omastar - 80,Omastar (139),47,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Signal Beam (324),Aura Sphere (4),Power Gem (285),Protect (155),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Gligar - 81,Gligar (207),47,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Drill Run (312),X-Scissor (36),Dragon Claw (337),Cross Poison (342),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Magcargo - 82,Magcargo (219),49,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Signal Beam (324),Flash Cannon (295),Ancientpower (246),Lava Plume (233),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Torkoal - 83,Torkoal (321),49,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Flash Cannon (295),Sunny Day (241),Flamethrower (53),Razor Shell (179),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Rapidash - 84,Rapidash (78),49,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Extremespeed (245),Bulldoze (222),Volt Switch (289),Stomping Tantrum (175),Never (0x0),TRUE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Umbreon - 85,Umbreon (197),49,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Shadow Ball (247),Dark Pulse (66),Psychic Fangs (135),Aura Sphere (4),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Scizor - 86,Scizor (212),49,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Sky Uppercut (327),Meteor Mash (309),Swords Dance (14),Lunge (145),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Crobat - 87,Crobat (169),49,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Psycho Cut (307),Brave Bird (123),Drill Run (312),Slash (163),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Flygon - 88,Flygon (334),49,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,High Horsepower (278),Iron Tail (231),Aqua Tail (49),Fire Fang (213),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Cacturne - 89,Cacturne (345),49,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Drain Punch (22),Seed Bomb (106),Synthesis (235),Poison Jab (15),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Weezing - 90,Weezing (110),50,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Dragonbreath (225),Air Slash (154),Shadow Ball (247),Smokescreen (108),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Muk - 91,Muk (89),50,0,None (0),サポーター  (3),0,0,0,0,0,0,0,0,0,0,0,0,0,Poison Jab (15),Curse (174),Drain Punch (22),Thunder Punch (9),Never (0x0),TRUE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Tentacruel - 92,Tentacruel (73),50,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Signal Beam (324),Psyshock (133),Flash Cannon (295),Calm Mind (129),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Smoochum - 93,Smoochum (238),26,0,None (0),状態変化優先  (73),0,0,0,0,0,0,0,0,0,0,0,0,0,Icy Wind (196),Draining Kiss (167),Confusion (93),Sweet Kiss (186),Never (0x0),FALSE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
Lunatone - 94,Lunatone (348),51,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Moonlight (236),Scald (17),Psyshock (133),Power Gem (285),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Armaldo - 95,Armaldo (391),51,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Swords Dance (14),Night Slash (168),X-Scissor (36),Rock Slide (157),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Whiscash - 96,Whiscash (324),51,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Aura Sphere (4),Cosmic Power (322),Scald (17),Shadow Ball (247),Never (0x0),FALSE,Male (0),Hardy (0),FALSE,FALSE,FALSE,FALSE
Persian - 97,Persian (53),51,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Dragon Claw (337),Crunch (242),Fire Fang (213),Shadow Claw (139),Never (0x0),FALSE,Genderless (2),Hardy (0),FALSE,FALSE,FALSE,FALSE
Medicham - 98,Medicham (357),51,0,None (0),フリー  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,Meteor Mash (309),Earthquake (89),Dynamicpunch (223),Jump Kick (26),Never (0x0),TRUE,Female (1),Hardy (0),FALSE,FALSE,FALSE,FALSE
